Pixel Value[0-255];Temperature[deg C]
101.0;-17.6
107.0;-17.4
102.0;-16.7
115.0;-16.2
118.0;-15.1
128.5;-13.3
134.5;-11.3
142.5;-9.1
151.0;-6.1
161.0;-4.1
165.0;-2.3
173.0;-0.2
182.0;1.8
193.0;3.9
201.0;6.8
213.0;8.8
221.0;10.9
228.5;13.0
240.0;15.0
243.0;17.0
243.0;19.1
