Pixel Value[0-255];Temperature[deg C]
84.0;-17.6
88.0;-16.6
89.0;-15.5
93.0;-14.0
96.0;-12.3
101.0;-10.35
105.0;-8.15
113.0;-6.1
117.0;-4.1
124.0;-2.1
129.0;0.0
134.0;1.9
142.0;4.1
149.5;6.3
156.0;8.4
164.0;10.4
169.0;12.3
175.0;14.2
184.0;16.1
190.5;18.05
197.0;19.95
204.0;21.9
211.0;23.8
220.0;25.75
224.0;27.7
231.0;29.6
